0,5,"RT @rainhilllad: Talk of extending a deal of a bloke who couldn't score with a crack whore, and as for Rashford I'd rather have a rash on m…
",7
0,1,"RT @BnazF: us: could we get a proper lesbian romance with two main characters hets: you already have a side one ?? don't be so… 
",4
0,5,"@KeithMallender Better than a left cunt amirite
",2
0,1,"RT @stellgibsons: i'm a lesbian, a woman pops her titty out to feed her kid i give her respect and look away. it's not hard, there's… 
",2
0,5,"@Abdulghaleiw ibrahimovic is so bad.And i dont care how much of a twat luke shaw wants to he has to start ahead of darmian.
",2
0,5,"@Sam_Sartorius23 the lil lesbian queen
",4
0,5,"@bluerobbo69 @Supersage64 I got abuse from that twat too. I'm racist cos I hate Hamilton!! Nothing to do with colour he's just a wanker
",7
0,5,"dumb cunt
",2
0,1,"RT @sameoldkeven: 5.) people need to stop slut shaming Rt- if you agree  Fav- if you disagree
",4
0,5,"RT @_cydneyy: White gays be like RT @RevoLucian: I love @RuPaul, and he's the wisest nigger I know!!! 😂❤️❤️❤️
",3
0,5,"RT @AjHuncho: You a gook if you putting jugs on the net
",3
0,1,"RT @onethinline: I'm a pinko homo nerd but the beard lets dippier gays know I'm a *stocky* pinko homo nerd (gays are super very woke when i…
",4
0,5,"@BigKim123098 I tweeted you last week at the train station when I was next to you? Yet you failed to reply silly cunt
",2
0,5,"@Nigel_Farage you are so desperate for attention, you cunt!
",2
0,5,"@LiamPaulCanning Fam ur Man has to behave and act professional.stop backing this Portuguese cunt
",2
0,5,"@PawleySteven @AdamRyan8 i hope none of your work mates follow you, you dopey little cunt..
",2
0,1,"RT @BnazF: us: could we get a proper lesbian romance with two main characters hets: you already have a side one ?? don't be so… 
",4
0,5,"RT @duxcomedy: @lvmypug @CynthiaSchames I prefer 6 speed tranny's when driving😂😂
",4
0,5,"@GodLikeZeph wake up fag
",4
0,5,"Amy is a slut.
",4
0,5,"@BrooksBeau Good morning lil cunt
",2
0,5,"@pitxapillar Come to London you cunt
",2
0,5,"Zlatan needs to get benched the fucking big nose horse. Can't believing I wasted my triple captain on this cunt.
",2
0,5,"RT @DaftLimmy: Jelly on a plate. Jelly on a plate. Wibble wobble. Wibble wobble. Yer da's a fat cunt.
",2
0,5,"@MyManyDrawings hell yeah I like him way better that rowlet fuck that bowtie nigger faggot
",3
0,5,"@yung_domon @Cernovich Having clear urine isn't good tho, you fucking retard. The healthier you are, the closer to a wheat gold you have.
",5
0,1,"Wow, the baby's finally 21. Happy birthday u cunt  🎁🎉🎊 @RossTricarico
",2
0,1,"@HazelMonforton What are you smearing an innocent man for you stupid cunt?
",2
0,5,"@arunspurs @FutbolSergi he provided the assist for the goal you dumb cunt
",2
0,5,"RT @SacredMalice: What's the difference between Jesus and a hooker ?  The noises they make when you're nailing them.  #Sickipedia
",1
0,5,"@allisonnfarrell ""just say, who even are you"" ""just call her a cunt like who cares""
",2
0,5,"@HeavensKishibe @Hypo_Crispy you attention seeking whore get the fuck off the line
",4
0,5,"RT @JoshTurii: @JMunshi236 @grantgust @greggrunberg You're a thick cunt, that's what you are mate
",2
0,1,"RT @sameoldkeven: 5.) people need to stop slut shaming Rt- if you agree  Fav- if you disagree
",4
0,1,"its all girls omg i love lesbian anya xx @edrenamatrena
",4
